City,Country,Lat,Long,Temp,Humidity,%Cloud,Wind_Speed,Hemisphere
vorkuta,ru,67.274,64.0394,9.22,85,0,3.49,Northern
paamiut,gl,65.3457,-46.5783,7.77,90,8,0.16,Northern
churapcha,ru,62.1844,132.517,12.69,78,0,1.89,Northern
port-gentil,ga,-3.2772,2.8747,24.0,88,75,5.63,Southern
tromso,no,72.527,19.483,19.0,48,14,12.3,Northern
nishihara,jp,19.0688,134.6306,28.0,83,40,3.1,Northern
sindi,in,20.9667,78.8765,26.0,88,40,2.19,Northern
salta,ar,-25.7027,-64.9134,23.0,17,0,1.5,Southern
saurimo,ao,-9.8449,19.6092,20.08,28,0,2.69,Southern
tikhvin,ru,59.8706,33.4128,14.75,94,0,1.62,Northern
cherskiy,ru,85.5835,163.6874,22.55,43,28,5.93,Northern
itoman,jp,21.4249,128.8254,28.0,83,75,5.7,Northern
ajdabiya,ly,28.6991,18.6846,24.74,82,0,5.28,Northern
svetlogorsk,ru,66.7651,90.1539,22.0,68,75,4.0,Northern
pacifica,us,33.3762,-133.5026,21.11,64,20,4.1,Northern
bathsheba,bb,14.9437,-56.1867,32.0,59,40,8.7,Northern
fukue,jp,30.7488,127.3975,26.37,87,100,4.95,Northern
sile,tr,41.0355,29.4527,24.44,73,0,1.9,Northern
kieta,pg,-4.0006,157.5046,26.5,75,100,2.4,Southern
labuhan,id,-9.7765,101.1771,22.93,84,33,2.86,Southern
gazipur,bd,23.7266,90.7347,30.0,70,20,3.6,Northern
piney green,us,33.621,-76.8567,33.33,55,75,5.1,Northern
hasaki,jp,32.7533,151.772,24.0,94,75,3.6,Northern
san felipe,ve,10.436,-68.7493,27.14,83,100,2.1,Northern
chifeng,cn,43.9313,118.3425,19.81,70,93,1.7,Northern
hambantota,lk,1.629,85.8833,27.0,78,90,1.5,Northern
hobyo,so,3.4568,49.9813,25.69,76,1,10.11,Northern
tambacounda,sn,13.3551,-13.014,33.0,59,40,3.1,Northern
praya,id,-11.7235,116.8851,22.0,88,40,1.23,Southern
deputatskiy,ru,66.5328,139.6025,12.36,81,0,2.14,Northern
marawi,sd,20.6131,31.5872,36.27,13,97,3.74,Northern
bom jesus,br,-9.98,-43.8465,32.76,25,0,4.28,Southern
rochegda,ru,63.1046,44.0003,15.91,77,97,0.86,Northern
luderitz,na,-33.0669,2.7306,17.0,72,0,6.2,Southern
skelleftea,se,64.1843,20.8587,17.78,63,0,3.1,Northern
the valley,ai,20.099,-63.4101,31.0,66,75,6.7,Northern
berlevag,no,76.8738,30.9179,18.0,71,18,3.6,Northern
north platte,us,41.8122,-101.5438,23.89,78,90,5.1,Northern
plettenberg bay,za,-45.0448,23.579,13.07,70,58,1.75,Southern
cap malheureux,mu,-16.1341,54.9449,21.11,71,100,4.92,Southern
minas,uy,-33.8392,-55.5592,16.11,48,100,5.1,Southern
karasjok,no,69.5796,26.0321,19.0,63,89,9.8,Northern
dingle,ie,47.9846,-19.2627,15.0,87,75,2.6,Northern
santa rosa,bo,-12.897,-66.6014,26.54,45,85,0.82,Southern
vestmannaeyjar,is,54.3465,-20.718,12.0,81,75,4.1,Northern
inirida,co,3.816,-65.175,27.37,87,99,1.35,Northern
jieshi,cn,20.129,115.6539,28.84,82,4,4.25,Northern
severnyy,ru,70.4674,64.8367,21.0,49,100,3.0,Northern
cacoal,br,-11.244,-61.2672,35.24,23,0,2.61,Southern
traverse city,us,45.0906,-84.8868,31.0,66,75,5.1,Northern
north bend,us,43.2609,-125.77,29.44,60,1,5.1,Northern
pasighat,in,33.917,96.1878,25.27,83,99,1.32,Northern
port moresby,pg,-11.94,147.3851,23.55,92,61,2.56,Southern
namibe,ao,-14.286,11.3453,19.8,79,0,3.4,Southern
yenagoa,ng,1.5815,5.0285,23.74,94,100,1.99,Northern
goulburn,au,-34.7121,149.966,11.11,96,100,4.48,Southern
muli,mv,2.3155,75.4274,28.13,71,100,3.11,Northern
atherton,au,-17.6118,143.7213,14.44,99,0,2.15,Southern
belaya gora,ru,68.7056,148.2773,17.4,72,79,4.05,Northern
loandjili,cg,-4.4674,11.9165,24.0,83,20,2.1,Southern
ust-nera,ru,65.1755,140.1713,16.04,60,51,3.38,Northern
florianopolis,br,-28.4269,-44.1308,19.44,55,75,4.1,Southern
mabaruma,gy,7.9634,-58.7972,27.8,90,92,2.21,Northern
mao,td,16.2492,14.7987,33.39,40,0,5.18,Northern
san angelo,us,31.813,-100.9577,32.22,40,75,4.1,Northern
sisimiut,gl,64.5788,-56.6684,8.17,87,100,2.86,Northern
savinka,ru,49.5048,47.1154,21.38,43,72,5.12,Northern
aberdeen,us,45.502,-98.2327,27.78,36,1,3.6,Northern
bantogon,ph,6.158,123.2097,25.15,80,59,1.25,Northern
sorland,no,72.1115,5.4903,19.0,55,58,1.5,Northern
virginia beach,us,35.3552,-73.154,35.56,59,75,3.6,Northern
kaliua,tz,-5.3111,31.5414,20.26,34,0,1.66,Southern
zharkent,kz,44.2423,79.2746,23.99,40,64,1.26,Northern
usinsk,ru,66.644,57.1616,15.89,76,0,5.1,Northern
severo-yeniseyskiy,ru,64.0509,92.9123,8.51,95,85,0.54,Northern
trelew,ar,-43.7654,-65.5797,7.0,75,90,1.5,Southern
voskresenskoye,ru,56.5086,45.4365,14.52,83,0,2.19,Northern
rosetta,eg,33.4125,29.7387,27.0,74,0,5.1,Northern
puertollano,es,38.3706,-4.2559,38.33,8,0,1.72,Northern
ahome,mx,25.5658,-110.0792,35.0,36,40,5.1,Northern
pinawa,ca,51.0642,-94.9249,24.15,45,0,6.56,Northern
kilindoni,tz,-7.9244,41.1747,25.05,75,52,9.47,Southern
poum,nc,-22.0187,158.1158,22.8,79,3,8.13,Southern
goiatuba,br,-18.2297,-49.6669,27.86,31,0,4.33,Southern
burnie,au,-44.6234,141.7142,9.44,86,100,1.34,Southern
amantea,it,39.1818,16.1037,26.0,74,0,2.6,Northern
marystown,ca,42.0033,-53.0667,15.07,97,100,6.18,Northern
zapolyarnyy,ru,67.7477,61.9473,20.0,52,16,2.6,Northern
bolivar,us,37.8568,-93.6775,32.22,59,13,3.6,Northern
soledade,br,-29.1863,-52.3738,14.84,78,100,1.97,Southern
koulikoro,ml,13.0359,-7.3557,28.62,63,11,3.02,Northern
tougan,bf,12.8179,-3.2341,30.06,57,11,3.19,Northern
samarai,pg,-14.0892,153.1139,25.9,86,96,3.0,Southern
claveria,ph,19.0427,121.0335,26.57,76,100,1.58,Northern
geraldton,au,-31.4298,102.038,11.0,87,0,5.7,Southern
northam,au,-29.901,116.7575,18.0,72,0,3.1,Southern
dharchula,in,29.9627,81.2419,21.78,75,98,0.49,Northern
kamaishi,jp,37.7273,145.1706,19.8,92,100,1.32,Northern
madulao,ph,13.5564,122.3436,26.68,82,80,0.57,Northern
